Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 20, 2016 12:47 EST
"Nutrient data for: 17247, Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 102 g) = 45.0g",
Proximates
"Water",g,44.92,38.18,20.21
"Energy",kcal,337,286,152
"Protein",g,31.10,26.44,14.00
"Total lipid (fat)",g,22.65,19.25,10.19
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,25,21,11
"Iron, Fe",mg,2.43,2.07,1.09
"Magnesium, Mg",mg,26,22,12
"Phosphorus, P",mg,210,178,94
"Potassium, K",mg,311,264,140
"Sodium, Na",mg,72,61,32
"Zinc, Zn",mg,6.24,5.30,2.81
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.070,0.060,0.032
"Riboflavin",mg,0.250,0.212,0.112
"Niacin",mg,6.610,5.618,2.974
"Vitamin B-6",mg,0.110,0.094,0.050
"Folate, DFE",µg,19,16,9
"Vitamin B-12",µg,2.59,2.20,1.17
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,9.210,7.828,4.145
"Fatty acids, total monounsaturated",g,9.630,8.186,4.334
"Fatty acids, total polyunsaturated",g,1.600,1.360,0.720
"Cholesterol",mg,120,102,54
Amino Acids
Other
