Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 20, 2016 12:50 EST
"Nutrient data for: 18945, Pie crust, deep dish, frozen, unbaked, made with enriched flour"
Nutrient,Unit,1Value per 100 g,"1 pie crust (average weight) = 225.0g",
Proximates
"Water",g,17.78,40.00
"Energy",kcal,468,1053
"Protein",g,5.52,12.42
"Total lipid (fat)",g,28.74,64.66
"Carbohydrate, by difference",g,46.79,105.28
"Fiber, total dietary",g,1.4,3.2
Minerals
"Calcium, Ca",mg,20,45
"Iron, Fe",mg,2.26,5.08
"Magnesium, Mg",mg,15,34
"Phosphorus, P",mg,68,153
"Potassium, K",mg,91,205
"Sodium, Na",mg,353,794
"Zinc, Zn",mg,0.46,1.04
Vitamins
"Thiamin",mg,0.227,0.511
"Riboflavin",mg,0.143,0.322
"Niacin",mg,2.500,5.625
"Vitamin B-6",mg,0.047,0.106
"Folate, DFE",µg,111,250
"Vitamin B-12",µg,0.00,0.00
"Vitamin E (alpha-tocopherol)",mg,1.24,2.79
"Vitamin K (phylloquinone)",µg,15.0,33.8
Lipids
"Fatty acids, total saturated",g,8.129,18.290
"Fatty acids, total monounsaturated",g,14.489,32.600
"Fatty acids, total polyunsaturated",g,3.530,7.942
Amino Acids
Other
